TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,SEXO#es,SEXO_CODE,EDAD#es,EDAD_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#es
Canarias,ES70,1993,1993,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,85.6,,,
Canarias,ES70,1993,1993,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,78.1,,,
Canarias,ES70,1993,1993,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,81.8,,,
Canarias,ES70,1994,1994,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,86.1,,,
Canarias,ES70,1994,1994,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,78.5,,,
Canarias,ES70,1994,1994,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,82.2,,,
Canarias,ES70,1995,1995,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,86.6,,,
Canarias,ES70,1995,1995,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,79.2,,,
Canarias,ES70,1995,1995,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,82.8,,,
Canarias,ES70,1996,1996,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,90,,,
Canarias,ES70,1996,1996,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,84.7,,,
Canarias,ES70,1996,1996,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,87.3,,,
Canarias,ES70,1997,1997,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,92.9,,,
Canarias,ES70,1997,1997,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,87.8,,,
Canarias,ES70,1997,1997,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,90.3,,,
Canarias,ES70,1998,1998,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,92.7,,,
Canarias,ES70,1998,1998,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,88.1,,,
Canarias,ES70,1998,1998,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,90.4,,,
Canarias,ES70,1999,1999,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,93.1,,,
Canarias,ES70,1999,1999,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,87.9,,,
Canarias,ES70,1999,1999,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,90.4,,,
Canarias,ES70,2000,2000,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,92.8,,,
Canarias,ES70,2000,2000,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,88.8,,,
Canarias,ES70,2000,2000,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,90.7,,,
Canarias,ES70,2001,2001,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,92.6,,,
Canarias,ES70,2001,2001,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,88.2,,,
Canarias,ES70,2001,2001,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,90.4,,,
Canarias,ES70,2002,2002,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,91.6,,,
Canarias,ES70,2002,2002,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,86.5,,,
Canarias,ES70,2002,2002,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,88.9,,,
Canarias,ES70,2003,2003,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,91.2,,,
Canarias,ES70,2003,2003,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,86.6,,,
Canarias,ES70,2003,2003,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,88.8,,,
Canarias,ES70,2004,2004,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,90,,,
Canarias,ES70,2004,2004,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,83.5,,,
Canarias,ES70,2004,2004,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,86.7,,,
Canarias,ES70,2005,2005,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,88.4,,,
Canarias,ES70,2005,2005,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,83,,,
Canarias,ES70,2005,2005,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,85.6,,,
Canarias,ES70,2006,2006,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,88.9,,,
Canarias,ES70,2006,2006,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,82.8,,,
Canarias,ES70,2006,2006,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,85.8,,,
Canarias,ES70,2007,2007,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,87.6,,,
Canarias,ES70,2007,2007,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,80.9,,,
Canarias,ES70,2007,2007,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,84.2,,,
Canarias,ES70,2008,2008,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,87.7,,,
Canarias,ES70,2008,2008,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,80.9,,,
Canarias,ES70,2008,2008,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,84.3,,,
Canarias,ES70,2009,2009,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,88.1,,,
Canarias,ES70,2009,2009,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,81.9,,,
Canarias,ES70,2009,2009,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,84.9,,,
Canarias,ES70,2010,2010,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,88.3,,,
Canarias,ES70,2010,2010,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,82.5,,,
Canarias,ES70,2010,2010,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,85.3,,,
Canarias,ES70,2011,2011,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,88.3,,,
Canarias,ES70,2011,2011,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,83.2,,,
Canarias,ES70,2011,2011,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,85.7,,,
Canarias,ES70,2012,2012,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,89.7,,,
Canarias,ES70,2012,2012,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,83.8,,,
Canarias,ES70,2012,2012,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,86.7,,,
Canarias,ES70,2013,2013,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,89.5,,,
Canarias,ES70,2013,2013,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,85,,,
Canarias,ES70,2013,2013,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,87.2,,,
Canarias,ES70,2014,2014,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,89.7,,,
Canarias,ES70,2014,2014,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,84.9,,,
Canarias,ES70,2014,2014,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,87.2,,,
Canarias,ES70,2015,2015,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,89.2,,,
Canarias,ES70,2015,2015,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,84.4,,,
Canarias,ES70,2015,2015,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,86.8,,,
Canarias,ES70,2016,2016,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,91.4,,,
Canarias,ES70,2016,2016,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,87.5,,,
Canarias,ES70,2016,2016,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,89.4,,,
Canarias,ES70,2017,2017,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,90.4,,,
Canarias,ES70,2017,2017,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,85.8,,,
Canarias,ES70,2017,2017,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,88.1,,,
Canarias,ES70,2018,2018,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,90.6,,,
Canarias,ES70,2018,2018,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,86.8,,,
Canarias,ES70,2018,2018,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,88.6,,,
Canarias,ES70,2019,2019,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,91.1,,,
Canarias,ES70,2019,2019,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,87.5,,,
Canarias,ES70,2019,2019,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,89.2,,,
Canarias,ES70,2020,2020,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,92,,,
Canarias,ES70,2020,2020,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,88.6,,,
Canarias,ES70,2020,2020,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,90.2,,,
Canarias,ES70,2021,2021,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,92.9,,,
Canarias,ES70,2021,2021,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,89.9,,,
Canarias,ES70,2021,2021,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,91.4,,,
Canarias,ES70,2022,2022,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,93.7,,,
Canarias,ES70,2022,2022,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,91.3,,,
Canarias,ES70,2022,2022,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,92.5,,,
Canarias,ES70,2023,2023,Mujeres,F,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,94.9,,,
Canarias,ES70,2023,2023,Hombres,M,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,92.6,,,
Canarias,ES70,2023,2023,Total,_T,10 años,Y10,Tasa de idoneidad,TASA_IDONEIDAD,93.7,,,
Canarias,ES70,1993,1993,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,59.4,,,
Canarias,ES70,1993,1993,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,44.7,,,
Canarias,ES70,1993,1993,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,51.9,,,
Canarias,ES70,1994,1994,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,58.7,,,
Canarias,ES70,1994,1994,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,45.4,,,
Canarias,ES70,1994,1994,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,51.8,,,
Canarias,ES70,1995,1995,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,60.9,,,
Canarias,ES70,1995,1995,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,47.4,,,
Canarias,ES70,1995,1995,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,54,,,
Canarias,ES70,1996,1996,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,65.2,,,
Canarias,ES70,1996,1996,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,50.6,,,
Canarias,ES70,1996,1996,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,57.8,,,
Canarias,ES70,1997,1997,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,64.7,,,
Canarias,ES70,1997,1997,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,50,,,
Canarias,ES70,1997,1997,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,57.3,,,
Canarias,ES70,1998,1998,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,70.9,,,
Canarias,ES70,1998,1998,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,57.3,,,
Canarias,ES70,1998,1998,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,64,,,
Canarias,ES70,1999,1999,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,73.8,,,
Canarias,ES70,1999,1999,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,61.1,,,
Canarias,ES70,1999,1999,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,67.4,,,
Canarias,ES70,2000,2000,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,76.4,,,
Canarias,ES70,2000,2000,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,64.6,,,
Canarias,ES70,2000,2000,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,70.3,,,
Canarias,ES70,2001,2001,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,77,,,
Canarias,ES70,2001,2001,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,63.7,,,
Canarias,ES70,2001,2001,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,70.2,,,
Canarias,ES70,2002,2002,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,76.3,,,
Canarias,ES70,2002,2002,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,62.1,,,
Canarias,ES70,2002,2002,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,69,,,
Canarias,ES70,2003,2003,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,73.5,,,
Canarias,ES70,2003,2003,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,57.9,,,
Canarias,ES70,2003,2003,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,65.5,,,
Canarias,ES70,2004,2004,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,72.2,,,
Canarias,ES70,2004,2004,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,57.1,,,
Canarias,ES70,2004,2004,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,64.4,,,
Canarias,ES70,2005,2005,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,70.1,,,
Canarias,ES70,2005,2005,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,54.2,,,
Canarias,ES70,2005,2005,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,61.9,,,
Canarias,ES70,2006,2006,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,64.9,,,
Canarias,ES70,2006,2006,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,51.4,,,
Canarias,ES70,2006,2006,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,57.9,,,
Canarias,ES70,2007,2007,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,65.1,,,
Canarias,ES70,2007,2007,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,52,,,
Canarias,ES70,2007,2007,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,58.4,,,
Canarias,ES70,2008,2008,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,64.1,,,
Canarias,ES70,2008,2008,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,51.4,,,
Canarias,ES70,2008,2008,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,57.7,,,
Canarias,ES70,2009,2009,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,64.7,,,
Canarias,ES70,2009,2009,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,54.4,,,
Canarias,ES70,2009,2009,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,59.3,,,
Canarias,ES70,2010,2010,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,67.1,,,
Canarias,ES70,2010,2010,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,56.1,,,
Canarias,ES70,2010,2010,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,61.4,,,
Canarias,ES70,2011,2011,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,68.9,,,
Canarias,ES70,2011,2011,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,57.8,,,
Canarias,ES70,2011,2011,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,63.3,,,
Canarias,ES70,2012,2012,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,70.3,,,
Canarias,ES70,2012,2012,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,59.4,,,
